short_id,dam_name,survey_yr1,survey_yr2
27131,Lake Gladewater Dam,1952,2000
27144,Lake Stamford Dam,1953,1999
27191,Lake Palo Pinto Dam,1964,2007
27195,Morris Sheppard Dam,1941,2016
27228,Wesley E Seale Dam,1958,2016
27267,De Cordova Bend Dam,1969,2015
27328,Lake Jb Thomas Dam,1952,1999
27466,Swauano Creek Dam,1975,2001
27467,Lake Kemp Dam,1971,2006
27480,Lake Fork Dam,1980,2009
27491,Choke Canyon,1982,2012
27505,Sterling C Robertson Dam,1978,2012
27639,Squaw Creek Dam,1977,2007
27645,Gibbons Creek Dam,1981,2008
27725,Palmetto Bend Dam,1980,2020
27731,Fort Sherman Dam,1978,2018
28620,Richland Creek Dam,1987,2018
28688,John T Montford Dam,1993,2017
29230,Aquilla Dam,1995,2014
29231,Ray Roberts Dam,1985,2008
29490,Piute,1910,1938
29501,Sevier Bridge,1908,1932
29519,Enterprise (Upper),1909,1940
29676,Steinaker,1961,2006
29687,Wanship,1957,2007
29688,Scofield,1946,1979
29691,Starvation,1969,2009
29819,Pedlar,1907,1938
29828,Staunton Dam,1925,1957
29895,Byllesby,1912,1936
30098,John H. Kerr Dam,1959,1997
30343,Mud Mountain Dam,1950,2011
30405,Eau Galle Dam,1960,1987
30432,Terra Alta Lake,1902,1952
30438,Bluestone Dam,1949,1965
30442,Tygart Dam,1938,1959
30855,Tass,1962,1988
30869,Basch,1956,1988
30882,Kingsbury Todd No. 1,1912,1988
31170,Glendo,1957,2003
31172,Guernsey,1927,2022
31174,Pathfinder,1909,1950
31175,Seminoe,1939,1973
31177,Boysen,1951,2023
31178,Buffalo Bill,1910,1986
31227,Keyhole,1952,2003
31829,Hiddenwood Lake,1926,1959
31830,Ferrells Bridge Dam,1957,2009
31831,Pat Mayse Dam,1966,2019
31832,Somerville Dam,1992,2012
31833,Morgan Lake,1900,1952
31834,Beetree Lake,1912,1951
31835,Almaden,1936,2000
31836,Folsom,1955,2005
31837,Bradbury,1953,2021
31839,Hawkins,1912,1940
31840,Magalia,1918,1946
31841,Misselbeck,1920,1945
31842,Elmer J. Chesbro,1955,1976
31844,Bayview Lake,1911,1935
31845,Lake Purdy Dam,1910,1935
31846,Lower Crystal Springs,1878,1935
31847,New Bullards Bar,1919,1939
31848,Lake Hodges,1919,1948
31849,Carpenter,1930,1950
31850,Lay,1913,1936
31851,Don Pedro Main,1923,1945
31852,Exchequer Main,1926,1946
31853,Alamo Dam,1963,2016
31854,Almond Dam,1949,1998
31855,Birch Dam,1977,2010
31856,Black Butte Dam,1959,2015
31857,Curwensville Dam,1958,2010
31858,Hansen Dam,1940,2016
31859,Hulah Dam,1951,2014
31860,Painted Rock Dam,1953,2016
31861,Santa Fe Dam,1943,2016
31862,Tioga Dam,1978,2012
31863,Coyote Valley Dam,1952,1994
31864,Carbon Canyon Dam,1937,2016
31865,Cave Run Dam,1963,1986
31866,Anderson,1950,1988
31867,San Clemente,1921,2015
31868,Gilmore,1917,1945
31870,Santa Felicia,1955,1965
32008,Willow Creek Bor Co,1953,2024
34204,Walter F. George Lock and Dam,1960,2009
35398,Blue Mountain Dam,1952,2017
35399,Nimrod Dam,1951,2016
35400,Norfork Dam,1943,2015
35415,Beaver Dam,1963,2018
36208,Gillham Dam,1980,2018
36750,Parker,1957,2018
37025,Copco No 1,1918,2011
37027,Iron Gate,1962,2011
37872,Lopez Dam,1979,2010
37879,Harry L. Englebright Dam,1940,2001
37884,Richard L. Schafer Dam,1960,2015
43201,J. Strom Thurmond Dam,1952,2017
43202,Hartwell Dam,1962,2023
43205,Richard B. Russell Dam,1980,2015
51488,Lucky Peak Dam,1951,2005
51718,Rend Dam,1969,2020
54190,Milford Dam,1967,2020
61453,Barkley Lock and Dam,1974,1984
64544,"Stronach Lake (Old, Removed)",1912,1953
65814,Clinton Dam,1977,2019
66534,Forest Lake Dam,2005,2021
69084,Pineview Dam,1928,1938
74393,John C. Stennis Lock and Dam,1974,2010
74396,Glover Wilkins Lock and Dam,1976,2010
74397,Fulton Lock and Dam,1976,2010
84286,Nelson Dike Da,1916,1999
89290,Navajo,1962,2019
90125,Ashokan Dam,1916,2014
90156,Merriman Dam,1945,2013
90391,Downsville Dam,1954,2015
90397,Neversink Reservoir Dam,1953,2014
90550,Cannonsville,1964,2015
93289,Pensacola,2009,2019
94887,Newt Graham Lock and Dam,1965,2020
98100,Keene Creek,1959,1999
98890,Raystown Dam,1966,1996
105048,Knapp Reservoir (Sudduth Lake),1907,1952
105565,Center Hill Dam,1965,1984
106516,Canyon Lake Dam,1964,2000
106883,Lake Bonham Dam,1969,2004
107440,Max Starcke Dam,1951,2020
107447,Lake Cooper Dam,1954,2014
107448,Lake Olney Dam,1935,2014
109790,Lake Striker Dam,1957,1996
110036,Livingston,1969,2019
110143,Eddleman Dam,1950,1998
110703,Bayou Loco Dam,1976,1994
110754,Kerrville Ponding Dam,1979,2015
111793,Elm Creek Dam,1983,2013
112292,Big Creek Dam,1987,2022
113377,North San Gabriel Dam,1982,2016
113378,Joe Pool Dam,1986,2022
113382,Cooper Dam,1991,2022
117574,Howard A. Hanson Dam,1959,2007
120263,Fontenelle,1961,2019
120843,Madsen Farm Pond,1939,1956
120844,Sterling Reservoir,1900,1973
120845,Gallatin Reservoir,1946,1956
120846,"Eagle Creek, Trib arm of Auglaize River Power Res",1912,1951
120847,High Pine Creek WS Dam Site 5,1961,1981
120848,Town Creek WS Dam Site 22,1968,1980
120849,Lake Harris Dam,1929,1953
120850,Wheeler Dam,1936,1953
120851,Wilson Dam,1928,1961
120852,Lake Bennett Dam,1935,1946
120853,Wilson Lake Dam,1913,1946
120854,Lake Wedington,1937,1947
120855,Old Water Supply Lake Dam,1937,1953
120856,Square Rock Lake Dam,1943,1961
120857,Sixmile Creek Wid Site 06,1954,1970
120858,Cove Lake,1938,1953
120859,Nichols Lake Dam,1931,1941
120861,Coolidge,1928,1966
120862,New Waddell,1928,1941
120863,Big Canyon Creek,1934,1945
120864,Big Dry Creek,1945,1998
120865,Franktown Parker Fpw-1,1963,1973
120866,Englewood,1936,1956
120867,Fruitgrowers,1939,2016
120868,Mountain Supply # 1,1905,1965
120869,North Fork Broad River WS Str # 6,1956,1970
120870,North Fork Broad River WS Str # 11,1956,1970
120871,North Fork Broad River WS Str # 14,1954,1969
120872,North Fork Broad River WS Str # 2,1956,1970
120873,North Fork Broad River WS Str # 1,1958,1970
120874,Sautee Creek WS Str. #13,1959,1970
120875,Cartecay River WS Str. #7 Dam,1965,1978
120876,Potato Creek WS Str # 56,1966,1977
120877,Sequoyah Lake Dam,1929,1939
120878,Nottely Dam,1942,1965
120879,Mississippi River Locks and Dam 15,1934,1950
120880,Mississippi River Lock and Dam 17,1938,1954
120881,Upper Pine Lake Dam,1934,1947
120882,Lake of Three Fires Dam,1936,1950
120883,Lower Centerville Reservoir Dam,1926,1937
120884,Lake Fisher Dam,1937,1951
120885,Beeds Lake Dam,1935,1946
120886,Backbone Dam,1934,1949
120887,Orchard,1892,1947
120888,Palisades,1957,2022
120889,Dworshak Dam,1973,2013
120890,West Frankfort New City Lake Dam,1945,1960
120891,Valier Lake Dam,1922,1957
120892,Johnston City Lake Dam,1922,1957
120893,Crab Orchard Dam,1940,1951
120894,Carlyle Dam,1965,2018
120895,Old Lock Dam 26,1938,1959
120896,Lake Decatur Dam,1956,1966
120897,Greendale Lake Dam,1927,1940
120898,Miller Lake Dam,1944,1960
120899,Raccoon Lake Dam,1943,1959
120900,Spring Lake Dam,1927,1947
120901,Lake Mt. Sterling Dam,1935,1951
120902,Hambaugh-Martin 1 Dam,1961,1978
120903,Shoal Creek Structure 2 Dam,1964,1977
120904,Walton Park Lake Dam,1862,1959
120905,Lake Lou Yaeger Dam,1966,1977
120906,Lake Jacksonville Dam,1939,1952
120907,Waverly City Lake Dam,1938,1952
120908,Spaulding Dam,1934,1948
120909,Bunker Hill Old Lake Dam,1937,1954
120910,Mississippi River Lock and Dam 19,1913,1946
120912,Pool #16,1938,1949
120913,Scottsburg Water Supply Reservoir Dam,1949,1961
120914,Brush Creek Reservoir,1953,1963
120915,Busseron Dam No. G-4,1963,1976
120916,Springs Valley Lake (F7),1963,1977
120917,Saddle Lake (Str. #1),1965,1976
120918,Spring Mill Park Lake Dam,1938,1948
120919,Norway,1923,1940
120920,Ksnoname 495,1958,1970
120921,Ksnoname 629,1955,1970
120922,Ksnoname 705,1951,1967
120923,Ksnoname 828,1951,1967
